id,menu_name,menu_value,menu_energy,menu_carbohydrate,menu_salt_content,menu_lipid,menu_protein,menu_red_point,menu_green_point,menu_picture,menu_yellow_point
1,"チキンおろしダレ（Grilled chicken with grated Japanese radish）",308,269.0,6.2,1.1,15.5,23.5,2.7,0.1,"",0.2
2,"若鶏の唐揚げ（Fried chicken）",308,361.0,30.8,1.4,17.4,18.1,2.5,0.1,"",1.9
3,"小松菜とツナのごま和え（Japanese mustard spinach and tuna dressed with sesame）",88,117.0,3.5,0.6,10.1,3.7,0.4,0.1,"",1.0
4,"ポテト＆コーンサラダ（Potato and corn salad）",88,75.0,9.5,0.6,3.8,1.7,0.0,0.7,"",0.3
5,"（中）辛みそ豚丼（(Medium size)Rice bowl topped with pork and spicy miso）",385,718.0,107.4,1.8,15.9,28.4,2.8,0.2,"",6.1
6,"かつお旨辛漬け丼（Rice bowl topped with bonito pickled in spicy sauce）",506,557.0,101.8,1.9,1.5,27.1,1.4,0.0,"",5.9
7,"野菜たっぷりとん辛ラーメン（Ramen in spicy pork-bone soup with large serving of vegetables）",440,633.0,93.2,10.7,18.2,27.3,0.4,0.4,"",6.6
8,"釜玉そば（Soba noodles with poached egg， green onion， nori and tenkasu）",319,507.0,70.3,2.6,16.9,20.2,1.0,0.1,"",5.0
9,"（中）ライス２００ｇ（(Medium size)Rice）",99,340.0,74.0,0.0,0.0,6.0,0.0,0.0,"",4.3
10,"豆腐とわかめの味噌汁（Miso soup）",33,24.0,3.2,1.7,0.5,1.3,0.0,0.0,"",0.3
11,"豚汁（Miso soup with pork and vegetables）",88,72.0,7.2,1.4,2.6,4.3,0.4,0.3,"",0.2
12,"生チョコケーキ（Chocolate cake topped with chocolate-flavored whipped cream and cocoa powder）",132,98.0,9.6,0.0,5.9,1.5,0.7,0.0,"",0.4
13,"抹茶きなこケーキ（Kinako (soybean-flour) cake topped with green tea flavored whipped cream）",132,134.0,11.9,0.1,8.8,2.0,0.9,0.0,"",0.5
14,"白身魚フライ（Fried white meat fish）",110,229.0,12.4,0.5,16.7,5.5,0.2,0.0,"",2.6
